,0
800,덕은동
801,향동동
802,식사동
803,중산동
804,정발산동
805,장항동
806,마두동
807,백석동
808,풍동
809,산황동
810,사리현동
811,지영동
812,설문동
813,문봉동
814,성석동
815,일산동
816,주엽동
817,탄현동
818,대화동
819,덕이동
820,가좌동
821,구산동
822,법곳동
823,관문동
824,문원동
825,막계동
826,과천동
827,주암동
828,원문동
829,별양동
830,부림동
831,갈매동
832,사노동
833,인창동
834,교문동
835,수택동
836,아천동
837,토평동
838,호평동
839,평내동
840,일패동
841,이패동
842,삼패동
843,수석동
844,지금동
845,도농동
846,별내동
847,다산동
848,와부읍
849,덕소리
850,팔당리
851,월문리
852,율석리
853,진접읍
854,장현리
855,내각리
856,내곡리
857,부평리
858,팔야리
859,진벌리
860,화도읍
861,마석우리
862,묵현리
863,구암리
864,금남리
865,답내리
866,월산리
867,창현리
868,녹촌리
869,차산리
870,진건읍
871,사능리
872,배양리
873,진관리
874,신월리
875,송능리
876,오남읍
877,양지리
878,팔현리
879,오남리
880,별내면
881,청학리
882,용암리
883,광전리
884,수동면
885,운수리
886,지둔리
887,수산리
888,내방리
889,외방리
890,입석리
891,송천리
892,조안면
893,조안리
894,진중리
895,송촌리
896,삼봉리
897,시우리
898,퇴계원면
899,퇴계원리
900,오산동
901,부산동
902,원동
903,궐동
904,청학동
905,가장동
906,금암동
907,수청동
908,은계동
909,내삼미동
910,외삼미동
911,양산동
912,지곶동
913,서랑동
914,서동
915,벌음동
916,두곡동
917,누읍동
918,가수동
919,고현동
920,청호동
921,갈곶동
922,대야동
923,신천동
924,방산동
925,포동
926,미산동
927,안현동
928,매화동
929,도창동
930,금이동
931,과림동
932,능곡동
933,하중동
934,하상동
935,광석동
936,물왕동
937,산현동
938,조남동
939,논곡동
940,목감동
941,거모동
942,군자동
943,장현동
944,장곡동
945,월곶동
946,정왕동
947,죽율동
948,무지내동
949,당동
950,당정동
951,산본동
952,금정동
953,둔대동
954,속달동
955,대야미동
956,도마교동
957,고천동
958,삼동
959,왕곡동
960,오전동
961,학의동
962,내손동
963,청계동
964,포일동
965,월암동
966,초평동
967,천현동
968,하산곡동
969,창우동
970,배알미동
971,상산곡동
972,덕풍동
973,망월동
974,풍산동
975,미사동
976,선동
977,감북동
978,감일동
979,감이동
980,학암동
981,교산동
982,춘궁동
983,하사창동
984,상사창동
985,항동
986,초일동
987,초이동
988,김량장동
989,역북동
990,삼가동
991,남동
992,유방동
993,고림동
994,마평동
995,운학동
996,호동
997,해곡동
998,포곡읍
999,모현읍
1000,이동읍
1001,남사면
1002,원삼면
1003,백암면
1004,양지면
1005,신갈동
1006,구갈동
1007,상갈동
1008,하갈동
1009,보라동
1010,지곡동
1011,공세동
1012,고매동
1013,농서동
1014,서천동
1015,영덕동
1016,언남동
1017,마북동
1018,청덕동
1019,동백동
1020,상하동
1021,보정동
1022,풍덕천동
1023,죽전동
1024,동천동
1025,고기동
1026,신봉동
1027,성복동
1028,상현동
1029,금촌동
1030,아동동
1031,야동동
1032,검산동
1033,맥금동
1034,교하동
1035,야당동
1036,다율동
1037,오도동
1038,상지석동
1039,산남동
1040,동패동
1041,당하동
1042,문발동
1043,송촌동
1044,목동동
1045,하지석동
